648,-3204,14748,-3205,4475,-7839
-2220,-3712,13676,-6720,2482,-10097
-3884,-4236,18896,-7906,924,-6381
-1548,-1424,22852,-812,3172,139
832,-204,17692,9363,2363,1499
1928,-1656,11820,7599,-2773,-916
2024,-4380,14408,984,-8359,-2715
4524,-2552,21912,-405,-5321,-5325
3480,-3360,25336,1663,3367,-8398
2428,-1500,22200,4253,5210,-8655
2736,1076,16188,2283,318,-9503
4200,2412,10548,-1065,-7265,-11291
4280,552,9520,-5459,-11456,-14295
5800,-704,14004,-7255,-3209,-17185
5212,-1136,18704,-6985,12088,-20699
928,-540,18504,-3173,18652,-25698
-2092,-204,14304,453,11451,-17378
-6572,-2808,11028,1155,-1169,-15056
-5648,-2024,15056,-1169,-3432,-21798
-412,1140,20760,-90,5343,-12820
-92,2564,22132,8836,10816,1980
7900,-3236,20784,13436,5577,-1902
4596,-8148,15452,8646,-7886,-11896
-5856,-11468,13748,-4967,-24832,-19302
-4176,-4052,24044,-16178,-22196,-20963
-2112,-7432,31828,-14604,5439,-19409
-1360,-3668,27916,2421,22120,-18333
-3340,-7780,18740,9247,23319,-14897
-4752,-3980,10848,800,8602,-18822
-4804,-7160,12156,-2456,-10661,-20427
892,-6568,17584,-2597,-10029,-20382
544,-3936,18268,2098,440,-22058
-1764,-2972,14912,9214,3529,-18765
-3016,-1520,11956,11125,-540,-13756
-2624,-688,10568,11086,-7354,-9617
1644,624,11760,11973,-8804,-5624
6884,772,14568,11142,-3920,-3964
7456,4000,16332,8529,1351,-9051
2316,6220,17348,4656,-1080,-11736
2416,3828,20692,5168,-2398,-6552
6048,2840,19140,9116,-1264,-4665
3504,4040,13664,5895,-3930,-9169
-2424,5640,10604,-3069,-7539,-9491
-2444,6316,15524,-10365,-6799,-7070
1600,5236,24636,-11212,-6208,-13066
668,4404,24704,-3507,11503,-22578
-4328,5912,18176,503,7301,-10855
-4584,5128,12804,-2245,-1736,-1747
-396,1972,14456,-196,-5980,1388
1296,2256,14388,1036,-101,-1555
-1096,4728,12980,20,-5383,-4215
-280,5096,15352,3475,-2636,798
860,5728,15288,4660,-5578,9267
2704,3892,13172,5902,-6995,15830
5016,4744,11996,3433,5015,21852
5024,3204,15120,-4001,-8018,14524
6632,3852,20984,-7200,-4261,5032
6828,5680,22004,-4794,-6036,3709
6312,4516,19836,91,-1980,7578
3652,3432,16212,-1749,-3878,6814
2260,1288,13472,-4844,-10572,3872
2476,1404,15072,-6450,-12055,-3336
